iter	Passed	Remaining
401	3390	826
402	3397	817
403	3405	809
404	3412	800
405	3418	791
406	3427	783
407	3436	774
408	3443	766
409	3451	757
410	3457	748
411	3465	740
412	3473	731
413	3481	723
414	3490	714
415	3497	706
416	3506	697
417	3513	689
418	3518	680
419	3527	671
420	3535	663
421	3545	655
422	3553	646
423	3561	638
424	3569	629
425	3577	621
426	3585	612
427	3594	604
428	3602	596
429	3609	587
430	3617	579
431	3626	570
432	3634	562
433	3642	553
434	3651	545
435	3658	537
436	3667	528
437	3675	520
438	3684	511
439	3692	503
440	3702	495
441	3711	486
442	3718	478
443	3726	470
444	3735	461
445	3744	453
446	3752	444
447	3759	436
448	3767	427
449	3775	419
450	3783	411
451	3792	402
452	3800	394
453	3808	385
454	3816	377
455	3825	369
456	3833	360
457	3841	352
458	3850	343
459	3858	335
460	3866	327
461	3874	318
462	3883	310
463	3891	301
464	3899	293
465	3907	285
466	3916	276
467	3924	268
468	3932	259
469	3941	251
470	3949	243
471	3957	234
472	3965	226
473	3973	217
474	3981	209
475	3989	201
476	3998	192
477	4007	184
478	4015	176
479	4023	167
480	4031	159
481	4039	150
482	4048	142
483	4057	134
484	4064	125
485	4071	117
486	4079	108
487	4086	100
488	4094	92
489	4102	83
490	4110	75
491	4118	66
492	4127	58
493	4136	50
494	4144	41
495	4152	33
496	4161	25
497	4168	16
498	4176	8
499	4184	0
