iter	RMSE
451	1416.450359
452	1415.750172
453	1415.068715
454	1414.742259
455	1413.265421
456	1412.870766
457	1411.693152
458	1411.047247
459	1410.502751
460	1409.726247
461	1408.730289
462	1408.106718
463	1407.855647
464	1407.066983
465	1406.403523
466	1405.169629
467	1404.741842
468	1404.201079
469	1403.271029
470	1402.485985
471	1401.898779
472	1401.552617
473	1400.784238
474	1400.46014
475	1400.153804
476	1399.50342
477	1399.045311
478	1398.435132
479	1397.808503
480	1397.291822
481	1396.690374
482	1395.93253
483	1395.281215
484	1394.703193
485	1394.644199
486	1394.058116
487	1394.033286
488	1393.716767
489	1393.227322
490	1392.560152
491	1392.347941
492	1391.420873
493	1390.985348
494	1390.139466
495	1389.666356
496	1389.244804
497	1389.002122
498	1388.955306
499	1388.320775
